date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:50	151165/151165	---MCZ	403	error ('FORBIDDEN')	text/html	date:Tue,%2017%20Mar%202026%2013:39:49%20GMT	https://web.archive.org/web/20251107210346im_/https://resources.blogblog.com/img/icon18_edit_allbkg.gif	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346im_/https_/resources.blogblog.com/img/icon18_edit_allbkg.gif	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:51	151549/151549	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Tue,%2017%20Mar%202026%2013:39:51%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/search/label/Generation%204	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/search/label/Generation%204	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:53%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/2011/10/henry-nicholas-abe-11-018.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/2011/10/henry-nicholas-abe-11-018.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:55%20GMT	https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/2011/09/john-adam-and-martha-jane-abe-infant.html	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/http_/www.abefamilyheritage.com/2011/09/john-adam-and-martha-jane-abe-infant.html	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:56%20GMT	https://web.archive.org/web/20251107210346/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5lKWO4usa-QH_jkfEBsEP-m8eIL8UBakozxdEajWbzOI7AKXlfG7dOvpFJ_OIqJiGdm6_UjGtK8YYNRLOOwldFOPFBicokSjIkoj2fGGIJp27l2s7hQKs9p59hS4_FqneMzRVj6im3UPu/s1600/Henry+and+Bertha+Abe+-+a.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5lKWO4usa-QH_jkfEBsEP-m8eIL8UBakozxdEajW/s1600/Henry+and+Bertha+Abe+-+a.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:59	624362/624362	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202026%2013:39:58%20GMT	https://web.archive.org/web/20240527133248/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5lKWO4usa-QH_jkfEBsEP-m8eIL8UBakozxdEajWbzOI7AKXlfG7dOvpFJ_OIqJiGdm6_UjGtK8YYNRLOOwldFOPFBicokSjIkoj2fGGIJp27l2s7hQKs9p59hS4_FqneMzRVj6im3UPu/s1600/Henry+and+Bertha+Abe+-+a.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20240527133248/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5lKWO4usa-QH_jkfEBsEP-m8eIL8UBakozxdEajW/s1600/Henry%20and%20Bertha%20Abe%20-%20a.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:39:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:39:59%20GMT	https://web.archive.org/web/20251107210346im_/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5lKWO4usa-QH_jkfEBsEP-m8eIL8UBakozxdEajWbzOI7AKXlfG7dOvpFJ_OIqJiGdm6_UjGtK8YYNRLOOwldFOPFBicokSjIkoj2fGGIJp27l2s7hQKs9p59hS4_FqneMzRVj6im3UPu/s320/Henry+and+Bertha+Abe+-+a.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346im_/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5lKWO4usa-QH_jkfEBsEP-m8eIL8UBakozxdEajW/s320/Henry+and+Bertha+Abe+-+a.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:40:11	21974/21974	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202026%2013:40:11%20GMT	https://web.archive.org/web/20240527114638im_/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5lKWO4usa-QH_jkfEBsEP-m8eIL8UBakozxdEajWbzOI7AKXlfG7dOvpFJ_OIqJiGdm6_UjGtK8YYNRLOOwldFOPFBicokSjIkoj2fGGIJp27l2s7hQKs9p59hS4_FqneMzRVj6im3UPu/s320/Henry+and+Bertha+Abe+-+a.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20240527114638im_/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5lKWO4usa-QH_jkfEBsEP-m8eIL8UBakozxdEajW/s320/Henry%20and%20Bertha%20Abe%20-%20a.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:40:13	0/0	---M--	302	error ('FOUND')	text/plain	date:Tue,%2017%20Mar%202026%2013:40:13%20GMT	https://web.archive.org/web/20251107210346/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjhYPKXLiwXzCfwovy3TcSNANaxXsXKE9OBbL2wC2OYXnz09B8d3Cs0vRGftSxseNH19JdGjA2BUwXPPDbwpZPnoIoUUyvHu5fKhiY_kpkFhMnXno3ZxExNy-yNVZdtO1H0A4DNbgmSSWf-/s1600/Henry+Abe+Farm+-+First+House+-+early+1920%2527s.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20251107210346/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjhYPKXLiwXzCfwovy3TcSNANaxXsXKE9OBbL2wC2O/s1600/Henry+Abe+Farm+-+First+House+-+early+1920%27s.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
08:40:16	310996/310996	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Mar%202026%2013:40:15%20GMT	https://web.archive.org/web/20250125205655/https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjhYPKXLiwXzCfwovy3TcSNANaxXsXKE9OBbL2wC2OYXnz09B8d3Cs0vRGftSxseNH19JdGjA2BUwXPPDbwpZPnoIoUUyvHu5fKhiY_kpkFhMnXno3ZxExNy-yNVZdtO1H0A4DNbgmSSWf-/s1600/Henry+Abe+Farm+-+First+House+-+early+1920's.jpg	C:/Mike_Abe/kim2-20251107/web.archive.org/web/20250125205655/https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjhYPKXLiwXzCfwovy3TcSNANaxXsXKE9OBbL2wC2O/s1600/Henry%20Abe%20Farm%20-%20First%20House%20-%20early%201920's.jpg	(from https://web.archive.org/web/20251107210346/http://www.abefamilyheritage.com/)
